商家名称,商家链接,商区,口味评分,环境评分,服务评分,人均消费
一鲜一锅(环宇城店),http://www.dianping.com/shop/110889306,环宇城,9.4,9.4,9.4,￥88
Gelateria d'Orcia 奥尔恰雪糕,http://www.dianping.com/shop/27148257,夫子庙地区,9.4,9.4,9.4,￥30
寻蜜茶饮(夫子庙店),http://www.dianping.com/shop/108164354,夫子庙地区,9.3,9.2,9.2,￥19
陈老斯的店呼尔嗨吃,http://www.dianping.com/shop/111950153,常府街/长白街,9.2,9.0,9.3,￥62
文三酒肆,http://www.dianping.com/shop/111983537,新街口地区,9.3,9.4,9.4,￥178
海底捞火锅(上元大街店),http://www.dianping.com/shop/6575144,东山镇,9.3,9.3,9.3,￥124
台湾深藏,http://www.dianping.com/shop/102960598,新街口地区,9.3,9.2,9.4,￥18
香木香羊烤全羊,http://www.dianping.com/shop/15866794,江宁区,9.3,9.3,9.3,￥199
汀蝉,http://www.dianping.com/shop/66820635,尧化门,9.2,9.5,9.4,￥1438
陈记一牛火锅(金域中央星河广场店),http://www.dianping.com/shop/7997036,幕府西路,9.3,8.6,9.2,￥110
单行线烧烤海鲜打边炉,http://www.dianping.com/shop/111979323,鼓楼区,9.3,9.3,9.4,￥120
四脚白,http://www.dianping.com/shop/102068198,集庆门大街,9.2,9.1,9.3,￥77
FOXY方菲餐吧,http://www.dianping.com/shop/111537873,火车站/玄武湖,9.3,9.3,9.2,￥143
鳗之鲜日本料理,http://www.dianping.com/shop/108332852,新街口地区,9.3,9.2,9.3,￥132
高鑫龙虾·木炭全羊,http://www.dianping.com/shop/98143116,莫愁湖/水西门,9.3,9.0,9.3,￥94
拾叁茶(下马坊店),http://www.dianping.com/shop/114896475,-,9.2,9.2,9.2,￥17
麦地初茶,http://www.dianping.com/shop/97201651,建邺区,9.3,9.4,9.3,￥24
三庐茶饮,http://www.dianping.com/shop/103555482,三牌楼,9.3,9.3,9.3,￥16
肆伍客,http://www.dianping.com/shop/111586528,常府街/长白街,9.2,9.2,9.2,￥19
江南里(艾尚天地店),http://www.dianping.com/shop/110553389,新街口地区,9.2,9.3,9.3,￥83
SALSA MEX 莎莎·麦克西,http://www.dianping.com/shop/90912774,新街口地区,9.2,8.9,9.2,￥65
左庭右院鲜牛肉火锅(江宁金鹰店),http://www.dianping.com/shop/110524866,百家湖,9.2,9.3,9.1,￥126
捞王锅物料理(艾尚天地店),http://www.dianping.com/shop/18179008,珠江路沿线,9.2,9.2,9.2,￥140
高丽苑韩国烤肉(弘阳广场店),http://www.dianping.com/shop/103004353,胜太路,9.2,9.1,9.1,￥57
鲜入围煮·港式打边炉,http://www.dianping.com/shop/114533988,仙林大学城,9.2,9.0,9.2,￥135
鮮入圍煮·海鲜打边炉(马台街总店),http://www.dianping.com/shop/97844253,湖南路,9.2,9.1,9.2,￥137
奈雪の茶(东方福来德店),http://www.dianping.com/shop/101465010,新街口地区,9.1,9.2,9.1,￥37
WILD荒野黑豹森林西式餐吧(乐基店),http://www.dianping.com/shop/68962339,集庆门大街,9.1,9.4,9.2,￥326
海子口鲜牛火锅(苜蓿园店),http://www.dianping.com/shop/98188978,苜蓿园,9.2,9.2,9.1,￥90
鮨極kiwami,http://www.dianping.com/shop/79267033,湖南路,9.1,9.2,9.2,￥1608
FISH BAG 鱼袋 Poke Eats 波奇碗,http://www.dianping.com/shop/94309168,常府街/长白街,9.1,9.2,9.2,￥51
橘焱胡同烧肉(南京艾尚店),http://www.dianping.com/shop/23042660,新街口地区,9.2,9.2,9.2,￥352
几何鲜生泰式海鲜火锅,http://www.dianping.com/shop/108224037,升州路/集庆路,9.1,9.3,9.3,￥92
达美乐比萨(珠江路店),http://www.dianping.com/shop/111983128,珠江路沿线,9.2,9.2,9.1,￥53
蛙喔(ist艾尚天地店),http://www.dianping.com/shop/113130317,新街口地区,9.1,9.3,9.2,￥72
解牛围炉碳火烧肉,http://www.dianping.com/shop/112488625,南京国际博览中心/元通,9.2,9.2,9.1,￥209
明末人在博多,http://www.dianping.com/shop/114789473,建邺区,9.1,9.2,9.3,￥38
L'Arôme Express芳芳简餐厅(虹悦城店),http://www.dianping.com/shop/83492344,虹悦城,9.1,9.2,9.3,￥192
勿相忘串串香(水平方店),http://www.dianping.com/shop/22729827,夫子庙地区,9.2,9.0,9.1,￥63
骨之味(建邺万达店),http://www.dianping.com/shop/98528301,建邺万达,9.1,9.2,9.3,￥104
炉边鲜港式打边炉(江宁店),http://www.dianping.com/shop/97530317,江宁科学园,9.2,9.1,9.1,￥125
大小米的蛋糕店,http://www.dianping.com/shop/38328721,新街口地区,9.2,9.1,9.1,￥181
漫山羊手切鲜羊火锅,http://www.dianping.com/shop/27307658,弘阳广场/新一城,9.1,9.1,9.1,￥88
安娜贝尔蛋糕·甜品台定制(百家湖店),http://www.dianping.com/shop/98607767,百家湖,9.2,9.3,9.3,￥262
重庆叮叮唐冷锅鱼,http://www.dianping.com/shop/97715077,莫愁湖/水西门,9.2,9.2,9.2,￥82
ALLEN艾伦音乐餐吧,http://www.dianping.com/shop/98839966,环亚凯瑟琳广场,9.1,9.2,9.1,￥134
番熹锅物料理(九宜城店),http://www.dianping.com/shop/112313730,常府街/长白街,9.1,9.2,9.2,￥75
袁老四川味火锅(江宁店),http://www.dianping.com/shop/103546950,大学城,9.2,9.2,9.1,￥91
高鑫龙虾·羊肉围炉(应天大街总店),http://www.dianping.com/shop/97526406,应天大街/文体路,9.2,9.1,9.0,￥128
清心素食,http://www.dianping.com/shop/83466848,新街口地区,9.1,9.2,9.1,￥23
Arola Nanjing,http://www.dianping.com/shop/98808995,新街口地区,9.1,9.3,9.4,￥1033
叁拾樂記·海鮮打邊爐,http://www.dianping.com/shop/101517077,应天大街/文体路,9.2,9.3,9.2,￥173
正宗贵州黄牛肉馆(板桥总店),http://www.dianping.com/shop/39915470,花生唐购物公园,9.2,8.2,8.5,￥78
鲜鲍道海鲜火锅,http://www.dianping.com/shop/110648014,莫愁湖/水西门,9.2,9.2,9.2,￥134
签上约炸串,http://www.dianping.com/shop/111750622,夫子庙地区,9.1,9.2,9.2,￥32
UMU音乐餐吧,http://www.dianping.com/shop/108143322,应天大街/文体路,9.1,9.1,9.1,￥154
华香楼新派川菜馆(花园路一店),http://www.dianping.com/shop/4291077,火车站/玄武湖,9.2,8.8,9.0,￥61
鳗亭日本料理(1912店),http://www.dianping.com/shop/97572434,珠江路沿线,9.2,9.3,9.2,￥285
玄锦·鸭府,http://www.dianping.com/shop/110271573,新城市广场,9.2,9.3,9.3,￥103
CACO HOUSE 巧啡屋,http://www.dianping.com/shop/98184857,新街口地区,9.1,9.2,9.2,￥52
七欣天品蟹轩(建邺乐基店),http://www.dianping.com/shop/110385560,应天大街/文体路,9.2,9.2,9.1,￥128
酒玖肆精酿啤酒音乐烤吧(曙光天地店),http://www.dianping.com/shop/97129517,夫子庙地区,9.1,9.2,9.2,￥97
小翠家烧烤水饺,http://www.dianping.com/shop/113931983,新街口地区,9.1,9.3,9.2,￥36
焱堡厨房(上海路店),http://www.dianping.com/shop/97296471,南大/南师大,9.2,8.8,9.1,￥38
筑味日式料理,http://www.dianping.com/shop/97511896,夫子庙地区,9.2,9.2,9.2,￥325
甜小兔tiyo's cake蛋糕店,http://www.dianping.com/shop/72454268,建邺万达,9.2,9.2,9.2,￥52
海弘昌,http://www.dianping.com/shop/5539808,湖南路,8.9,8.8,8.6,￥774
蜀香龍门火锅(迈皋桥店),http://www.dianping.com/shop/96296211,迈皋桥/和燕路,9.1,9.2,9.2,￥113
五季随园,http://www.dianping.com/shop/92472001,莫愁湖/水西门,9.1,9.4,9.3,￥506
Seven Poke夏威夷波奇海鲜饭(新街口总店),http://www.dianping.com/shop/98006685,新街口地区,9.2,9.1,9.3,￥55
串个串串,http://www.dianping.com/shop/101922256,湖南路,9.2,9.2,9.1,￥75
蓉炉火锅,http://www.dianping.com/shop/70148224,莫愁湖/水西门,9.2,9.3,9.2,￥110
秋野暮(文昌巷店),http://www.dianping.com/shop/98869939,常府街/长白街,9.1,9.3,9.2,￥19
心灵翻糖甜品设计室,http://www.dianping.com/shop/65977013,常府街/长白街,9.2,9.2,9.2,￥747
海蒸鲜蒸汽海鲜餐厅(丹凤街店),http://www.dianping.com/shop/92746201,珠江路沿线,9.3,9.0,9.1,￥246
私宴·私人定制,http://www.dianping.com/shop/97409066,新街口地区,9.2,9.2,9.2,￥566
AWESOME SELECT奥瑟精选,http://www.dianping.com/shop/110321831,湖南路,9.1,9.2,9.2,￥160
Whisper studio薇语花艺烘焙工作室,http://www.dianping.com/shop/97220720,江宁万达,9.2,9.2,9.2,￥297
渔膳,http://www.dianping.com/shop/95291491,南京国际博览中心/元通,9.2,9.3,9.2,￥337
那些年,http://www.dianping.com/shop/121542588,珠江路沿线,9.2,9.2,9.1,￥62
漫滋翻糖蛋糕.甜品台定制,http://www.dianping.com/shop/23072958,常府街/长白街,9.1,9.1,9.2,￥206
家·餐厅JIA restaurant(金陵饭店),http://www.dianping.com/shop/19144953,新街口地区,9.1,9.3,9.2,￥388
moondo慕嘟甜品蛋糕咖啡,http://www.dianping.com/shop/38152310,江宁万达,9.2,9.2,9.1,￥263
宽渡(门东店),http://www.dianping.com/shop/93995844,秦虹村/中华门,9.0,9.2,9.2,￥519
Jasmine Flavour,http://www.dianping.com/shop/112001039,南京国际博览中心/元通,9.1,9.1,9.1,￥48
鳗亭烧肉酒场,http://www.dianping.com/shop/96490653,珠江路沿线,9.2,9.2,9.1,￥261
水虎传·台湾黑糖专卖,http://www.dianping.com/shop/107980382,新街口地区,9.2,9.1,9.2,￥13
渔鼎仙·酸菜鱼椒麻鱼牛蛙火锅,http://www.dianping.com/shop/107979765,应天大街/文体路,9.2,9.1,9.1,￥80
聚鲜海平价海鲜土菜馆,http://www.dianping.com/shop/103633376,苜蓿园,9.1,9.1,9.1,￥236
UNiUNi(江宁金鹰店),http://www.dianping.com/shop/107708485,百家湖,9.2,9.1,9.2,￥42
随遇而安Cafe&Bar,http://www.dianping.com/shop/67432335,新街口地区,9.1,9.2,9.2,￥50
屿蓝甜品生日蛋糕,http://www.dianping.com/shop/94316585,弘阳广场/新一城,9.2,9.2,9.2,￥200
罗登巴赫比利时啤酒博物馆西餐厅(翠贝卡二号分店),http://www.dianping.com/shop/76714608,新街口地区,9.1,9.3,9.1,￥226
星海湾大连海鲜烧烤(建邺旗舰店),http://www.dianping.com/shop/111541452,莫愁湖/水西门,9.2,9.3,9.3,￥94
SoNature素诺烘焙生日蛋糕私人定制,http://www.dianping.com/shop/82876601,百家湖,9.2,9.2,9.2,￥175
ROOMMATE美式餐厅酒吧,http://www.dianping.com/shop/110500436,新街口地区,9.2,9.3,9.2,￥123
银城皇冠假日酒店百家楼中餐厅,http://www.dianping.com/shop/13888339,胜太路,9.1,9.2,9.0,￥169
猫家冰淇淋咖啡店,http://www.dianping.com/shop/103621952,建邺万达,9.1,9.2,9.2,￥49
螺丝找虾虾找面(来凤街店),http://www.dianping.com/shop/57237736,升州路/集庆路,9.2,9.0,9.1,￥165
臻鲜燕麻辣海鲜香辣蟹,http://www.dianping.com/shop/97231913,新街口地区,9.2,9.1,9.2,￥122
